Product_ID,Rating,Valid_Sales,Corrupted_Sales,Total_Sales,Valid_Orders,Corrupted_Orders,Total_Orders_Count,Valid_Orders_Quantity,Corrupted_Orders_Quantity,Total_Orders_Quantity,Product_Name,Category,Brand,Original_Price,Discount_Percent,Discount_Amount,Selling_Price,Stock_Quantity,Weight_kg,Avg_Rating,Total_Reviews
PROD000023,4.0,153045.03999999998,19041.69,172086.72999999998,96,12,108,120,15,135,Decathlon Cycle V2,Sports,Decathlon,2277.36,43,979.26,1298.1,375,2.5,4.35,43
PROD000024,5.0,803777.1,101565.67,905342.77,89,11,100,104,13,117,Yoga Mat V7,Sports,Yoga,8685.1,10,868.51,7816.59,559,1.42,4.35,55
PROD000025,5.0,1807306.77,222029.78,2029336.55,89,11,100,115,14,129,Dumbbells V1,Sports,Dumbbells,21725.03,27,5865.76,15859.27,278,1.22,4.54,50
PROD000026,4.0,43813.77,5253.6,49067.369999999995,69,8,77,85,10,95,Fiction Novel V7,Books,Fiction,554.49,14,77.63,476.86,635,3.89,4.42,36
PROD000027,3.0,67542.24,3564.56,71106.8,58,4,62,76,4,80,NCERT Book V7,Books,NCERT,1171.78,22,257.79,913.99,201,4.66,4.46,35
PROD000028,4.0,34480.56,3956.85,38437.409999999996,63,7,70,78,9,87,Comics V10,Books,Comics,422.31,5,21.12,401.19,225,3.89,4.5,30
PROD000029,4.0,30804.29,3977.21,34781.5,63,7,70,79,11,90,Notebook V5,Books,Notebook,382.36,7,26.77,355.59,99,1.74,4.4,30
PROD000030,4.0,86446.56999999999,11814.699999999999,98261.26999999999,58,6,64,71,10,81,Stationery Set V7,Books,Stationery,1554.83,21,326.51,1228.32,251,3.48,4.19,32
PROD000031,4.0,54197.13,6226.43,60423.56,94,10,104,123,14,137,Aashirvaad Atta V6,Grocery,Aashirvaad,434.9,7,30.44,404.46,880,3.16,4.6,50
PROD000032,5.0,80629.09000000001,4053.5600000000004,84682.65000000001,110,6,116,141,7,148,Fortune Oil V4,Grocery,Fortune,793.26,27,214.18,579.08,58,2.02,4.41,58
PROD000033,4.0,101775.35,10558.36,112333.71,114,14,128,137,14,151,Lays Chips V8,Grocery,Lays,870.97,13,113.23,757.74,193,3.93,4.3,69
PROD000034,4.0,143254.07,8607.12,151861.19,105,8,113,135,8,143,Nescafe Coffee V1,Grocery,Nescafe,1956.17,45,880.28,1075.89,713,3.2,4.17,59
PROD000035,4.0,99531.45,19249.879999999997,118781.32999999999,87,15,102,116,22,138,Haldiram Snacks V1,Grocery,Haldiram,1113.34,21,233.8,879.54,803,3.47,4.35,46
PROD000036,3.0,14103926.57,1442179.1800000002,15546105.75,183,20,203,227,23,250,Samsung Mobile V4,Electronics,Samsung,66721.98,6,4003.32,62718.66,586,2.12,4.39,98
PROD000037,4.0,23406623.869999997,3591873.06,26998496.929999996,200,29,229,236,36,272,HP Laptop V4,Electronics,HP,111479.61,10,11147.96,100331.65,566,2.92,4.34,109
PROD000038,5.0,17878523.94,1700271.96,19578795.900000002,219,21,240,271,26,297,boAt Headphones V2,Electronics,boAt,102185.82,35,35765.04,66420.78,516,4.65,4.5,114
PROD000039,3.0,29108267.830000002,2099144.48,31207412.310000002,209,19,228,263,19,282,Noise Watch V1,Electronics,Noise,139577.42,20,27915.48,111661.94,794,4.53,4.39,115
PROD000040,4.0,3951971.8400000003,479323.42000000004,4431295.260000001,212,24,236,248,30,278,Apple iPhone V2,Electronics,Apple,17181.51,6,1030.89,16150.62,547,3.37,4.28,125
PROD000041,4.0,1696059.15,192956.57,1889015.72,154,19,173,187,21,208,Levis Jeans V9,Fashion,Levis,13721.15,33,4527.98,9193.17,230,1.6,4.42,74
PROD000042,4.0,410375.47000000003,46724.340000000004,457099.81000000006,165,17,182,210,24,234,Peter England Shirt V9,Fashion,Peter,3599.88,45,1619.95,1979.93,41,0.69,4.33,84
PROD000043,4.0,1222253.9,236211.3,1458465.2,145,28,173,192,37,229,Nike Shoes V9,Fashion,Nike,8701.35,26,2262.35,6439.0,426,3.48,4.4,67
PROD000044,4.0,255307.01,23831.54,279138.55,151,16,167,193,18,211,Titan Watch V10,Fashion,Titan,1698.3,21,356.64,1341.66,600,2.58,4.48,85
PROD000045,4.0,761284.11,85098.27,846382.38,150,18,168,186,21,207,Puma T-shirt V3,Fashion,Puma,6682.45,38,2539.33,4143.12,298,0.74,4.49,83
PROD000046,4.0,2614629.94,289197.32,2903827.26,91,10,101,109,12,121,IKEA Chair V1,Home,IKEA,27395.58,12,3287.47,24108.11,561,4.44,4.47,47
PROD000047,5.0,1790846.83,198866.06,1989712.8900000001,98,12,110,124,14,138,Prestige Cooker V4,Home,Prestige,29046.14,50,14523.07,14523.07,788,2.4,4.6,50
PROD000048,4.0,3878420.18,546368.34,4424788.5200000005,115,17,132,136,19,155,Philips Mixer V9,Home,Philips,31603.14,9,2844.28,28758.86,77,4.68,4.38,72
PROD000049,4.0,3414293.52,254014.1,3668307.62,112,9,121,136,10,146,Godrej Almirah V5,Home,Godrej,39094.48,35,13683.07,25411.41,739,4.66,4.42,59
PROD000050,4.0,2531658.6999999997,281407.6,2813066.3,112,14,126,145,16,161,Urban Ladder Sofa V4,Home,Urban,20226.84,13,2629.49,17597.35,940,3.48,4.46,61
PROD000051,5.0,129660.24,13260.17,142920.41,54,6,60,69,7,76,Lakme Lipstick V3,Beauty,Lakme,2310.13,18,415.82,1894.31,374,0.72,4.42,26
PROD000052,5.0,40328.55,3629.85,43958.4,39,5,44,55,5,60,Mamaearth Facewash V4,Beauty,Mamaearth,1014.85,26,263.86,750.99,545,1.39,4.52,29
PROD000053,5.0,69090.23000000001,12039.41,81129.64000000001,52,6,58,63,11,74,Nivea Cream V3,Beauty,Nivea,2072.94,46,953.55,1119.39,130,0.82,4.57,30
PROD000054,5.0,126780.68,14225.14,141005.82,53,8,61,71,8,79,Dove Soap V9,Beauty,Dove,2696.99,33,890.01,1806.98,576,2.52,4.38,29
PROD000055,5.0,153240.38,11781.6,165021.98,51,4,55,65,5,70,Plum Serum V9,Beauty,Plum,4114.35,42,1728.03,2386.32,904,1.2,4.35,34
PROD000056,4.0,1790315.61,222442.76,2012758.37,85,12,97,106,13,119,Nike T-shirt V6,Sports,Nike,28069.7,39,10947.18,17122.52,381,2.55,4.37,49
PROD000057,5.0,852813.42,62726.99,915540.41,103,10,113,136,10,146,Puma Shoes V8,Sports,Puma,10065.26,37,3724.15,6341.11,272,0.62,4.51,57
PROD000058,4.0,1760033.43,271322.78,2031356.21,90,15,105,109,17,126,Decathlon Cycle V10,Sports,Decathlon,27098.08,40,10839.23,16258.85,667,4.64,4.33,48
PROD000059,4.0,319758.04,33472.520000000004,353230.56,95,11,106,116,12,128,Yoga Mat V4,Sports,Yoga,5278.69,47,2480.98,2797.71,319,2.56,4.47,51
PROD000060,4.0,811997.2000000001,61257.25,873254.4500000001,87,6,93,116,9,125,Dumbbells V1,Sports,Dumbbells,8099.78,13,1052.97,7046.81,892,1.36,4.47,55
PROD000061,4.0,85232.9,4227.16,89460.06,63,3,66,79,4,83,Fiction Novel V6,Books,Fiction,1367.86,20,273.57,1094.29,777,0.62,4.43,23
PROD000062,4.0,39882.45,2160.74,42043.189999999995,69,4,73,92,5,97,NCERT Book V3,Books,NCERT,588.25,32,188.24,400.01,298,0.64,4.62,29
PROD000063,5.0,39004.59,4831.37,43835.96,62,8,70,73,9,82,Comics V8,Books,Comics,891.67,44,392.33,499.34,385,2.63,4.28,36
PROD000064,4.0,66904.62,7873.2,74777.81999999999,52,6,58,59,7,66,Notebook V2,Books,Notebook,1822.68,37,674.39,1148.29,33,1.11,4.45,33
PROD000065,4.0,26105.24,2047.7,28152.940000000002,77,5,82,98,8,106,Stationery Set V9,Books,Stationery,259.39,14,36.31,223.08,624,4.97,4.42,26
PROD000066,4.0,195626.63,23610.8,219237.43,101,10,111,123,15,138,Aashirvaad Atta V4,Grocery,Aashirvaad,2326.75,31,721.29,1605.46,510,2.03,4.38,53
PROD000067,4.0,14049.0,1747.1399999999999,15796.14,95,10,105,115,14,129,Fortune Oil V2,Grocery,Fortune,78.64,8,6.29,72.35,826,2.34,4.44,52
PROD000068,4.0,113847.69,11293.31,125141.0,104,11,115,131,13,144,Lays Chips V10,Grocery,Lays,969.55,9,87.26,882.29,923,0.48,4.32,57
PROD000069,4.0,236000.06,29082.32,265082.38,112,14,126,132,16,148,Nescafe Coffee V5,Grocery,Nescafe,2364.64,23,543.87,1820.77,396,4.94,4.54,54
PROD000070,5.0,187606.24,17747.38,205353.62,104,11,115,126,12,138,Haldiram Snacks V9,Grocery,Haldiram,2479.49,39,967.0,1512.49,395,0.32,4.52,60
PROD000071,4.0,1256035.6800000002,106944.53000000001,1362980.2100000002,221,20,241,282,24,306,Samsung Mobile V5,Electronics,Samsung,7758.23,42,3258.46,4499.77,835,3.01,4.43,128
PROD000072,4.0,13647005.14,1528436.61,15175441.75,219,22,241,281,32,313,HP Laptop V4,Electronics,HP,70210.68,30,21063.2,49147.48,105,3.3,4.32,114
PROD000073,5.0,15453067.17,3023540.31,18476607.48,169,31,200,209,41,250,boAt Headphones V4,Electronics,boAt,106655.74,30,31996.72,74659.02,441,1.55,4.35,92
PROD000074,5.0,14488794.77,1169877.98,15658672.75,226,17,243,283,23,306,Noise Watch V7,Electronics,Noise,60907.24,15,9136.09,51771.15,399,4.15,4.44,131
PROD000075,3.0,19872516.48,2254669.68,22127186.16,189,19,208,230,26,256,Apple iPhone V8,Electronics,Apple,123095.85,29,35697.8,87398.05,168,2.45,4.39,99
PROD000076,5.0,2890587.0,347304.47000000003,3237891.47,172,18,190,215,26,241,Levis Jeans V5,Fashion,Levis,14594.02,7,1021.58,13572.44,792,4.69,4.55,92
PROD000077,4.0,1043310.73,130791.53,1174102.26,147,17,164,184,23,207,Peter England Shirt V10,Fashion,Peter,6601.21,13,858.16,5743.05,709,1.66,4.29,84
PROD000078,4.0,1550404.26,265202.63,1815606.8900000001,144,25,169,173,30,203,Nike Shoes V9,Fashion,Nike,13127.69,31,4069.58,9058.11,662,2.0,4.4,83
PROD000079,5.0,1008911.71,83867.04,1092778.75,153,14,167,192,16,208,Titan Watch V4,Fashion,Titan,8303.7,36,2989.33,5314.37,334,3.23,4.2,87
PROD000080,5.0,455978.5,63757.299999999996,519735.8,141,20,161,172,24,196,Puma T-shirt V10,Fashion,Puma,3084.0,13,400.92,2683.08,104,4.71,4.49,86
PROD000081,5.0,1263329.47,165752.22,1429081.69,126,17,143,153,20,173,IKEA Chair V1,Home,IKEA,11413.39,27,3081.62,8331.77,751,0.41,4.53,70
PROD000082,4.0,3437738.82,470525.68,3908264.5,97,13,110,123,17,140,Prestige Cooker V3,Home,Prestige,43607.57,35,15262.65,28344.92,671,2.71,4.23,52
PROD000083,4.0,3617232.3,450966.35,4068198.65,115,13,128,142,18,160,Philips Mixer V3,Home,Philips,49286.1,48,23657.33,25628.77,603,4.65,4.4,60
PROD000084,4.0,5959257.97,804514.51,6763772.4799999995,120,15,135,149,20,169,Godrej Almirah V9,Home,Godrej,43013.71,6,2580.82,40432.89,112,1.63,4.36,73
PROD000085,4.0,1932526.8900000001,302744.69,2235271.58,94,11,105,115,18,133,Urban Ladder Sofa V5,Home,Urban,20362.17,16,3257.95,17104.22,903,4.47,4.24,55
PROD000086,4.0,50370.42,5273.39,55643.81,56,6,62,67,7,74,Lakme Lipstick V10,Beauty,Lakme,1107.62,31,343.36,764.26,702,4.82,4.42,26
PROD000087,3.0,182634.28,35185.14,217819.41999999998,48,9,57,66,13,79,Mamaearth Facewash V3,Beauty,Mamaearth,3188.99,13,414.57,2774.42,893,4.42,4.53,19
PROD000088,3.0,144266.4,11858.36,156124.76,59,6,65,72,6,78,Nivea Cream V2,Beauty,Nivea,2179.4,7,152.56,2026.84,901,1.36,4.36,33
PROD000089,5.0,20520.81,1264.59,21785.4,54,4,58,73,4,77,Dove Soap V7,Beauty,Dove,365.56,32,116.98,248.58,635,2.79,4.59,34
PROD000090,5.0,152026.41,17431.59,169458.0,50,6,56,67,8,75,Plum Serum V8,Beauty,Plum,3017.94,24,724.31,2293.63,995,2.68,4.48,31
PROD000091,4.0,1892107.9,208332.52,2100440.42,94,11,105,110,12,122,Nike T-shirt V3,Sports,Nike,33394.63,48,16029.42,17365.21,375,1.01,4.41,51
PROD000092,4.0,1649713.97,218953.76,1868667.73,94,14,108,121,16,137,Puma Shoes V8,Sports,Puma,19549.45,30,5864.84,13684.61,802,2.32,4.49,45
PROD000093,5.0,1740436.42,308861.06,2049297.48,80,11,91,97,17,114,Decathlon Cycle V9,Sports,Decathlon,19754.54,8,1580.36,18174.18,593,3.9,4.56,43
PROD000094,4.0,177941.30000000002,20836.96,198778.26,89,12,101,110,13,123,Yoga Mat V2,Sports,Yoga,1837.87,11,202.17,1635.7,946,3.33,4.41,44
PROD000095,4.0,1885008.84,196240.76,2081249.6,88,10,98,104,11,115,Dumbbells V10,Sports,Dumbbells,27380.49,33,9035.56,18344.93,568,0.43,4.41,49
PROD000096,4.0,22746.2,887.12,23633.32,73,3,76,86,3,89,Fiction Novel V5,Books,Fiction,321.68,34,109.37,212.31,509,0.36,4.47,40
PROD000097,4.0,51150.3,15814.75,66965.05,51,14,65,62,19,81,NCERT Book V10,Books,NCERT,914.36,8,73.15,841.21,848,3.87,4.29,28
PROD000098,4.0,28516.39,4271.2300000000005,32787.62,63,11,74,79,11,90,Comics V3,Books,Comics,420.37,23,96.69,323.68,111,3.94,4.34,35
PROD000099,4.0,51782.600000000006,8860.29,60642.89000000001,50,10,60,58,10,68,Notebook V3,Books,Notebook,1392.43,35,487.35,905.08,217,2.89,4.41,27
PROD000100,4.0,69387.21,4332.85,73720.06000000001,59,4,63,78,5,83,Stationery Set V1,Books,Stationery,1510.95,40,604.38,906.57,610,4.2,4.42,40
PROD000101,5.0,218550.42,10884.460000000001,229434.88,102,6,108,122,6,128,Aashirvaad Atta V5,Grocery,Aashirvaad,2939.37,38,1116.96,1822.41,682,0.85,4.36,59
PROD000102,5.0,220342.1,22280.940000000002,242623.04,111,13,124,147,15,162,Fortune Oil V8,Grocery,Fortune,1665.61,9,149.9,1515.71,837,3.16,4.37,57
PROD000103,4.0,133731.13,15953.63,149684.76,92,13,105,118,14,132,Lays Chips V4,Grocery,Lays,1918.9,40,767.56,1151.34,335,0.88,4.27,55
PROD000104,5.0,52786.11,4390.42,57176.53,116,8,124,136,12,148,Nescafe Coffee V8,Grocery,Nescafe,464.19,25,116.05,348.14,517,2.21,4.42,65
PROD000105,4.0,30546.96,3120.83,33667.79,112,11,123,137,14,151,Haldiram Snacks V8,Grocery,Haldiram,243.32,27,65.7,177.62,706,0.83,4.25,64
PROD000106,4.0,11903111.21,1605147.23,13508258.440000001,204,23,227,253,34,287,Samsung Mobile V3,Electronics,Samsung,91611.34,48,43973.44,47637.9,803,0.81,4.45,106
PROD000107,5.0,8224093.75,859222.44,9083316.19,217,22,239,278,30,308,HP Laptop V3,Electronics,HP,54247.0,45,24411.15,29835.85,764,2.67,4.32,121
PROD000108,4.0,1460869.23,163547.74000000002,1624416.97,201,23,224,259,29,288,boAt Headphones V2,Electronics,boAt,7500.35,24,1800.08,5700.27,351,4.41,4.29,100
PROD000109,4.0,18299369.39,1548390.39,19847759.78,215,22,237,270,23,293,Noise Watch V1,Electronics,Noise,98856.56,31,30645.53,68211.03,660,2.17,4.41,111
PROD000110,3.0,17531616.12,1810160.1900000002,19341776.310000002,202,20,222,261,27,288,Apple iPhone V8,Electronics,Apple,104310.58,35,36508.7,67801.88,80,0.73,4.51,113
PROD000111,4.0,2090478.24,197403.30000000002,2287881.54,162,13,175,192,18,210,Levis Jeans V8,Fashion,Levis,11666.86,6,700.01,10966.85,63,1.11,4.42,89
PROD000112,4.0,1806242.45,193055.25,1999297.7,169,21,190,212,23,235,Peter England Shirt V5,Fashion,Peter,14805.0,42,6218.1,8586.9,181,4.27,4.46,101
PROD000113,5.0,558345.72,47899.59,606245.3099999999,181,15,196,223,19,242,Nike Shoes V2,Fashion,Nike,2847.61,11,313.24,2534.37,538,3.51,4.4,94
PROD000114,4.0,1802800.6,111933.7,1914734.3,174,14,188,227,14,241,Titan Watch V1,Fashion,Titan,9535.18,16,1525.63,8009.55,733,4.53,4.4,86
PROD000115,5.0,517249.95,77706.96,594956.91,155,21,176,188,28,216,Puma T-shirt V9,Fashion,Puma,5243.06,47,2464.24,2778.82,239,1.08,4.37,81
PROD000116,5.0,673791.05,51394.46,725185.51,112,9,121,139,11,150,IKEA Chair V6,Home,IKEA,9789.43,50,4894.72,4894.71,687,3.19,4.45,56
PROD000117,5.0,2224862.54,212945.91999999998,2437808.46,126,10,136,155,15,170,Prestige Cooker V8,Home,Prestige,20129.06,28,5636.14,14492.92,228,3.77,4.52,61
PROD000118,5.0,2959169.12,258843.49,3218012.6100000003,103,8,111,133,12,145,Philips Mixer V2,Home,Philips,35168.95,36,12660.82,22508.13,451,1.52,4.46,59
PROD000119,4.0,6426117.95,916150.4,7342268.350000001,120,17,137,147,21,168,Godrej Almirah V10,Home,Godrej,46862.23,6,2811.73,44050.5,590,2.48,4.41,61
PROD000120,4.0,1194443.38,142467.5,1336910.88,112,11,123,135,16,151,Urban Ladder Sofa V1,Home,Urban,16000.39,44,7040.17,8960.22,468,4.99,4.41,63
PROD000121,4.0,285698.34,26888.620000000003,312586.96,50,6,56,64,6,70,Lakme Lipstick V10,Beauty,Lakme,4776.35,6,286.58,4489.77,131,4.24,4.39,28
PROD000122,5.0,191546.28,25909.2,217455.48,62,7,69,75,10,85,Mamaearth Facewash V4,Beauty,Mamaearth,3549.21,27,958.29,2590.92,706,1.19,4.54,35
PROD000123,5.0,130230.04,6720.719999999999,136950.75999999998,51,2,53,59,3,62,Nivea Cream V10,Beauty,Nivea,3446.53,35,1206.29,2240.24,995,2.62,4.33,33
PROD000124,4.0,96226.15999999999,11620.84,107846.99999999999,59,7,66,74,9,83,Dove Soap V5,Beauty,Dove,1821.29,28,509.96,1311.33,351,3.6,4.45,38
PROD000125,5.0,189908.57,17501.45,207410.02000000002,56,3,59,77,7,84,Plum Serum V2,Beauty,Plum,2639.32,5,131.97,2507.35,805,4.54,4.42,31
PROD000126,4.0,900115.4500000001,141293.83,1041409.28,93,15,108,115,18,133,Nike T-shirt V6,Sports,Nike,9636.45,18,1734.56,7901.89,700,1.14,4.48,54
PROD000127,5.0,1802727.52,320467.74,2123195.26,85,13,98,102,18,120,Puma Shoes V2,Sports,Puma,26597.65,33,8777.22,17820.43,182,2.26,4.43,42
PROD000128,3.0,809054.9500000001,91522.07,900577.02,84,9,93,106,12,118,Decathlon Cycle V5,Sports,Decathlon,11310.19,32,3619.26,7690.93,753,2.9,4.35,43
PROD000129,5.0,3276813.94,426713.76,3703527.7,99,13,112,121,16,137,Yoga Mat V2,Sports,Yoga,34404.07,21,7224.85,27179.22,259,1.2,4.32,62
PROD000130,4.0,2362292.2600000002,292142.86000000004,2654435.12,90,11,101,114,14,128,Dumbbells V2,Sports,Dumbbells,26423.4,21,5548.91,20874.49,610,4.21,4.24,46
PROD000131,4.0,32632.38,3538.69,36171.07,47,7,54,64,7,71,Fiction Novel V5,Books,Fiction,825.56,37,305.46,520.1,105,3.89,4.33,27
PROD000132,4.0,14079.78,977.4200000000001,15057.2,72,5,77,93,6,99,NCERT Book V9,Books,NCERT,125.19,19,23.79,101.4,616,1.33,4.34,41
PROD000133,4.0,38759.85,2422.0299999999997,41181.88,65,4,69,79,5,84,Comics V2,Books,Comics,970.37,48,465.78,504.59,288,3.27,4.39,31
PROD000134,4.0,56191.340000000004,5699.76,61891.100000000006,64,6,70,81,8,89,Notebook V4,Books,Notebook,1096.11,35,383.64,712.47,920,4.63,4.35,34
PROD000135,5.0,90018.62000000001,8783.36,98801.98000000001,63,7,70,83,8,91,Stationery Set V1,Books,Stationery,1591.19,31,493.27,1097.92,793,1.06,4.38,37
PROD000136,5.0,153903.76,13978.33,167882.09,110,10,120,133,12,145,Aashirvaad Atta V7,Grocery,Aashirvaad,1305.17,10,130.52,1174.65,667,2.51,4.34,68
PROD000137,4.0,126248.31999999999,12625.92,138874.24,102,9,111,130,13,143,Fortune Oil V6,Grocery,Fortune,1281.04,23,294.64,986.4,439,3.74,4.47,53
PROD000138,4.0,42584.549999999996,5033.22,47617.77,107,13,120,130,15,145,Lays Chips V8,Grocery,Lays,340.03,15,51.0,289.03,13,1.95,4.47,68
PROD000139,4.0,103958.6,6628.49,110587.09000000001,110,9,119,140,9,149,Nescafe Coffee V8,Grocery,Nescafe,1400.01,46,644.0,756.01,610,2.45,4.39,64
PROD000140,4.0,44704.46,2901.65,47606.11,126,8,134,155,10,165,Haldiram Snacks V4,Grocery,Haldiram,476.28,49,233.38,242.9,645,1.22,4.28,61
PROD000141,4.0,3661979.1999999997,397341.01,4059320.21,201,22,223,250,27,277,Samsung Mobile V8,Electronics,Samsung,21104.14,30,6331.24,14772.9,412,4.76,4.42,113
PROD000142,4.0,17511490.94,2122939.7600000002,19634430.700000003,198,24,222,247,30,277,HP Laptop V1,Electronics,HP,113464.8,37,41981.98,71482.82,285,3.25,4.46,100
PROD000143,4.0,9621673.32,1028302.39,10649975.71,210,22,232,262,28,290,boAt Headphones V5,Electronics,boAt,55412.6,33,18286.16,37126.44,316,2.94,4.4,114
PROD000144,4.0,31400094.79,3817244.08,35217338.87,220,26,246,283,35,318,Noise Watch V4,Electronics,Noise,117838.99,5,5891.95,111947.04,197,1.46,4.42,111
PROD000145,4.0,2193487.48,337460.7,2530948.18,192,30,222,234,36,270,Apple iPhone V6,Electronics,Apple,10138.78,7,709.71,9429.07,26,3.93,4.39,92
PROD000146,4.0,1066029.65,98949.13999999998,1164978.7899999998,155,13,168,195,18,213,Levis Jeans V10,Fashion,Levis,8598.01,36,3095.28,5502.73,372,1.76,4.41,82
PROD000147,5.0,2226519.84,218917.4,2445437.2399999998,174,16,190,216,21,237,Peter England Shirt V5,Fashion,Peter,13544.68,23,3115.28,10429.4,670,1.07,4.51,100
PROD000148,4.0,2041564.65,262206.62,2303771.27,161,17,178,209,27,236,Nike Shoes V5,Fashion,Nike,12034.96,18,2166.29,9868.67,67,2.26,4.37,86
PROD000149,5.0,1166350.04,129526.89,1295876.93,154,18,172,188,21,209,Titan Watch V10,Fashion,Titan,7488.26,16,1198.12,6290.14,575,3.05,4.46,82
PROD000150,4.0,941686.02,112764.88,1054450.9,157,18,175,202,24,226,Puma T-shirt V2,Fashion,Puma,6537.32,28,1830.45,4706.87,235,2.28,4.46,78
PROD000151,4.0,2646788.02,100739.65,2747527.67,108,5,113,133,5,138,IKEA Chair V2,Home,IKEA,21208.35,5,1060.42,20147.93,239,4.83,4.29,55
PROD000152,4.0,2174065.55,303631.97000000003,2477697.52,113,12,125,130,18,148,Prestige Cooker V10,Home,Prestige,19724.05,14,2761.37,16962.68,735,3.46,4.41,66
PROD000153,5.0,3491276.1599999997,288559.6,3779835.76,113,9,122,147,12,159,Philips Mixer V4,Home,Philips,41466.89,42,17416.09,24050.8,98,4.13,4.59,63
PROD000154,4.0,239350.82,26611.66,265962.48,102,13,115,135,15,150,Godrej Almirah V8,Home,Godrej,3287.68,45,1479.46,1808.22,795,1.33,4.39,49
PROD000155,4.0,5217183.05,420580.11,5637763.16,103,9,112,124,10,134,Urban Ladder Sofa V5,Home,Urban,44729.41,5,2236.47,42492.94,702,4.34,4.4,52
PROD000156,4.0,47598.11,4959.6,52557.71,61,7,68,78,8,86,Lakme Lipstick V3,Beauty,Lakme,815.73,24,195.78,619.95,105,4.64,4.29,35
